"City","Title","Property_Type","Location_Detail","Bed_Info","Price_Per_Night_USD","Currency","Rating","Date_Range","Airbnb_ID","Link"
"Berlin","Private room in Berlin","Private Room","","1 bed","44","$","4.75","Feb 1 – 6","846137824533242742","https://www.airbnb.com/rooms/846137824533242742"
"Berlin","Private room in Berlin","Private Room","Quiet attic in the Tempelhof aviation district","1 single bed","51","$","4.87","May 27 – Jun 1","37847588","https://www.airbnb.com/rooms/37847588"
"Berlin","Condo in Berlin","Other","Cozy and bright apartment in Berlin","2 beds","120","$","4.88","May 19 – 24","53870090","https://www.airbnb.com/rooms/53870090"
"Berlin","Private room in Falkensee","Private Room","","1 double bed","29","$","4.93","Oct 1 – 6","11058646","https://www.airbnb.com/rooms/11058646"
"Berlin","Apartment in Berlin","Apartment","Modernized 2 room apartment in the heart of Berlin","1 bed","76","$","4.75","Sep 15 – 20","26248619","https://www.airbnb.com/rooms/26248619"
"Berlin","Apartment in Berlin","Apartment","","2 beds","85","$","4.94","May 21 – 26","40716983","https://www.airbnb.com/rooms/40716983"
"Berlin","Apartment in Berlin","Apartment","Central & bright apartment in hip disctrict","1 queen bed","81","$","5","May 20 – 27","44326622","https://www.airbnb.com/rooms/44326622"
"Berlin","Private room in Berlin","Private Room",".Comfortable Private Room Nr. 3","1 double bed","71","$","4.64","May 1 – 6","7838790","https://www.airbnb.com/rooms/7838790"
"Berlin","Private room in Berlin","Private Room","Homely BR w/free WIFI & parking/bus to BER+U Rudow","1 single bed","57","$","4.84","May 29 – Jun 4","51759565","https://www.airbnb.com/rooms/51759565"
"Berlin","Condo in Berlin","Other","Whole flat,beautiful,central, quiet.","3 beds","89","$","4.54","Aug 13 – 19","16145208","https://www.airbnb.com/rooms/16145208"
"Berlin","Private room in Berlin","Private Room","","2 beds","50","$","4.69","May 23 – 30","34351958","https://www.airbnb.com/rooms/34351958"
"Berlin","Private room in Berlin","Private Room","Shared flat  ++ read description before booking ++","1 double bed","33","$","4.19","Jul 30 – Aug 6","43550976","https://www.airbnb.com/rooms/43550976"
"Berlin","Private room in Berlin","Private Room","Attic with terrace in the Bergmannkiez + quiet","1 king bed","76","$","5","Jul 24 – 30","2793794","https://www.airbnb.com/rooms/2793794"
"Berlin","Private room in Berlin","Private Room","","1 bed","76","$","4.8","Aug 22 – 27","18070061","https://www.airbnb.com/rooms/18070061"
"Berlin","Private room in Neukölln","Private Room","Bright room in beautiful family flat in Neukölln","1 double bed","45","$","4.57","May 3 – 10","35987131","https://www.airbnb.com/rooms/35987131"
"Berlin","Private room in Mitte","Private Room","Private room in a shared apartment(Wg)","1 double bed","63","$","No rating","May 1 – 6","787044645286919162","https://www.airbnb.com/rooms/787044645286919162"
"Berlin","Apartment in Prenzlauer Berg","Apartment","","1 bed","102","$","No rating","May 1 – 6","870087361058955158","https://www.airbnb.com/rooms/870087361058955158"
"Berlin","Private room in Prenzlauer Berg","Private Room","Beautiful 25qm room in old building with balkony","1 double bed","90","$","5","May 5 – 11","27741319","https://www.airbnb.com/rooms/27741319"
"Berlin","Private room in Kreuzberg","Private Room","In the middle of the action in Berlin","1 bed","30","$","4.61","Oct 30 – Nov 4","584012","https://www.airbnb.com/rooms/584012"
"Berlin","Apartment in Lichtenberg","Apartment","Apartment 45sqm, for3 People, U5 Magdalenenstrasse","1 double bed","121","$","4.69","Jun 30 – Jul 5","20517971","https://www.airbnb.com/rooms/20517971"
"Berlin","Private room in Charlottenburg","Private Room",".Comfortable Private Room Nr. 5","1 bed","61","$","4.57","May 1 – 6","38686018","https://www.airbnb.com/rooms/38686018"
"Berlin","Apartment in Kreuzberg","Apartment","Apartment close to Bergmann hood","1 double bed","51","$","4.84","Apr 13 – 18","5784956","https://www.airbnb.com/rooms/5784956"
"Berlin","Apartment in Tempelhof","Apartment","In the middle of the neighbourhood","1 double bed","100","$","4.67","Dec 16 – 21","39602283","https://www.airbnb.com/rooms/39602283"
"Berlin","Private room in Mitte","Private Room","","1 sofa bed","45","$","4.97","Oct 30 – Nov 6","51841334","https://www.airbnb.com/rooms/51841334"
"Berlin","Apartment in Mitte","Apartment","Charming Wedding old building apartment at Schillerpark","2 sofa beds","97","$","4.95","Jun 10 – 15","18836091","https://www.airbnb.com/rooms/18836091"
"Berlin","Condo in Prenzlauer Berg","Other","","1 bed","90","$","4.84","Jun 27 – Jul 2","630468862062580379","https://www.airbnb.com/rooms/630468862062580379"
"Berlin","Private room in Tempelhof","Private Room","Cozy room at the old Berlin airfield.","1 double bed","49","$","4.93","Aug 1 – 6","50203702","https://www.airbnb.com/rooms/50203702"
"Berlin","Private room in Kreuzberg","Private Room","Sunflooded room in the heart of Kreuzberg <3","1 king bed","105","$","4.71","Jun 21 – 26","40248440","https://www.airbnb.com/rooms/40248440"
"Berlin","Apartment in Prenzlauer Berg","Apartment","","1 queen bed","138","$","4.89","Jul 17 – 22","11661596","https://www.airbnb.com/rooms/11661596"
"Berlin","Apartment in Mitte","Apartment","Cosy altbau studio flat in central Berlin","2 beds","152","$","4.66","May 21 – 26","20943832","https://www.airbnb.com/rooms/20943832"
"Berlin","Private room in Prenzlauer Berg","Private Room","Double Room in Prenzlauer Berg","1 double bed","97","$","4.82","May 19 – 24","14424131","https://www.airbnb.com/rooms/14424131"
"Berlin","Shared room in Mitte","Other","one room appartment shared with Host","1 single bed","30","$","4.5","May 22 – 27","844608023472994750","https://www.airbnb.com/rooms/844608023472994750"
"Berlin","Private room in Kreuzberg","Private Room","Bohemian in Berlin","1 bed","84","$","No rating","Jul 30 – Aug 4","795738568541225211","https://www.airbnb.com/rooms/795738568541225211"
"Berlin","Apartment in Neukölln","Apartment","","1 double bed","126","$","4.92","May 21 – 26","33634726","https://www.airbnb.com/rooms/33634726"
"Berlin","Apartment in Kreuzberg","Apartment","Central 2 room apartment in Berlin Kreuzberg","2 beds","99","$","5","May 12 – 17","786310180116401185","https://www.airbnb.com/rooms/786310180116401185"
"Berlin","Private room in Neukölln","Private Room","Nice room, top amenities, air conditioner, legal","1 double bed","38","$","4.9","Sep 25 – 30","20568733","https://www.airbnb.com/rooms/20568733"
"Berlin","Private room in Prenzlauer Berg","Private Room","private single room | Hotel Prenzlauer Berg","1 bed","79","$","4.75","Jun 20 – 25","806443352368381195","https://www.airbnb.com/rooms/806443352368381195"
"Berlin","Private room in Mitte","Private Room","Lovely room in the heart of Mitte","1 bed","100","$","4.92","Jul 17 – 22","747585137941299002","https://www.airbnb.com/rooms/747585137941299002"
"Berlin","Private room in Pankow","Private Room","Quiet and centrally located room in Florakiez","1 sofa bed","49","$","4.91","Jul 14 – 19","46704484","https://www.airbnb.com/rooms/46704484"
"Berlin","Apartment in Schöneberg","Apartment","Simple, charming Schöneberger Seitenstrassenwg","1 double bed","33","$","4.57","Nov 17 – 23","26346833","https://www.airbnb.com/rooms/26346833"
"Berlin","Private room in Charlottenburg-Wilmersdorf","Private Room","Single Room","1 bed","65","$","4.44","Apr 18 – 23","53104445","https://www.airbnb.com/rooms/53104445"
"Berlin","Hotel room in Charlottenburg-Wilmersdorf","Other","Superior single room","1 bed","72","$","4.32","Apr 18 – 23","53104664","https://www.airbnb.com/rooms/53104664"
"Berlin","Apartment in Friedrichshain","Apartment","Stayery | Modern Studio near Boxhagener Platz","1 double bed","157","$","4.75","May 4 – 11","32149692","https://www.airbnb.com/rooms/32149692"
"Berlin","Private room in Kreuzberg","Private Room","","1 double bed","38","$","4.91","Oct 15 – 20","9774272","https://www.airbnb.com/rooms/9774272"
"Berlin","Apartment in Prenzlauer Berg","Apartment","","1 double bed","126","$","5","Jun 4 – 11","611235827845447324","https://www.airbnb.com/rooms/611235827845447324"
"Berlin","Private room in Lichtenberg","Private Room","cozy room with lots of space","1 sofa bed","81","$","4.81","Jun 20 – 25","51558001","https://www.airbnb.com/rooms/51558001"
"Berlin","Private room in Charlottenburg-Wilmersdorf","Private Room","Beautiful room in buddhist center / Westend","4 single beds","57","$","4.81","Jun 11 – 16","20647264","https://www.airbnb.com/rooms/20647264"
"Berlin","Private room in Lichtenberg","Private Room","","1 bed","40","$","4.75","Aug 26 – 31","26952394","https://www.airbnb.com/rooms/26952394"
"Berlin","Private room in Prenzlauer Berg","Private Room","Sunny room in a cool berlin appartment w/ balcony","1 double bed","64","$","4.83","May 20 – 25","40911656","https://www.airbnb.com/rooms/40911656"
"Berlin","Apartment in Neukölln","Apartment","Sweet Home Karl Marx!","2 beds","114","$","4.47","Aug 22 – 28","8622788","https://www.airbnb.com/rooms/8622788"
"Berlin","Private room in Kreuzberg","Private Room","Wonderful Room in Hip Kreuzberg!!","1 double bed","77","$","5","May 11 – 16","230411","https://www.airbnb.com/rooms/230411"
"Berlin","Apartment in Lichtenberg","Apartment","Artfully designed separate home","1 bed","65","$","4.96","Jun 29 – Jul 4","36214660","https://www.airbnb.com/rooms/36214660"
"Berlin","Private room in Mitte","Private Room","cozy room in stylish apartment","1 double bed","92","$","4.94","Jun 9 – 14","44596704","https://www.airbnb.com/rooms/44596704"
"Berlin","Apartment in Reinickendorf","Apartment","Apartments in Hostel am Schäfersee _06","1 bed","63","$","4.78","Aug 21 – 26","22483099","https://www.airbnb.com/rooms/22483099"
"Berlin","Private room in Neukölln","Private Room","quiet single room 2.3 to the courtyard (2nd floor)","1 bed","45","$","4.25","Jul 20 – 25","14829530","https://www.airbnb.com/rooms/14829530"
"Berlin","Apartment in Lichtenberg","Apartment","","1 bed","64","$","No rating","Jun 26 – Jul 1","627309608055717027","https://www.airbnb.com/rooms/627309608055717027"
"Berlin","Shared room in Mitte","Other","","2 beds","49","$","4.78","May 12 – 17","777910036659949560","https://www.airbnb.com/rooms/777910036659949560"
"Berlin","Private room in Mitte","Private Room","20 qm room, kids are welcome!","1 double bed","51","$","4.8","Mar 1 – 6","3920591","https://www.airbnb.com/rooms/3920591"
"Berlin","Private room in Neukölln","Private Room","Sunny room in Neukölln, on the river, solo woman","1 bed","57","$","5","Aug 25 – 30","22676690","https://www.airbnb.com/rooms/22676690"
"Berlin","Private room in Reinickendorf","Private Room","minimalistic but beautiful room","1 bed","33","$","No rating","Oct 23 – 28","847799367651729277","https://www.airbnb.com/rooms/847799367651729277"
"Berlin","Private room in Pankow","Private Room","Spacious and quiet room close to the city center!","1 double bed","74","$","4.94","May 1 – 7","49228349","https://www.airbnb.com/rooms/49228349"
"Berlin","Apartment in Schöneberg","Apartment","numa | Homely Room in wintery Schoeneberg","1 bed","135","$","4.78","May 14 – 19","49070135","https://www.airbnb.com/rooms/49070135"
"Berlin","Hotel room in Charlottenburg","Other","","1 double bed","111","$","4.96","May 26 – Jun 2","30919726","https://www.airbnb.com/rooms/30919726"
"Berlin","Apartment in Friedrichshain","Apartment","Spacious & Light & Good Transport","2 beds","94","$","4.94","May 22 – 29","11847541","https://www.airbnb.com/rooms/11847541"
"Berlin","Private room in Neukölln","Private Room","Wonderful room in Neukölln","1 double bed","74","$","5","Oct 30 – Nov 4","45711564","https://www.airbnb.com/rooms/45711564"
"Berlin","Private room in Kreuzberg","Private Room","Beautiful apartment in the trendy Kreuzberg neighbourhood","1 bed","69","$","4.61","Sep 26 – Oct 1","51995152","https://www.airbnb.com/rooms/51995152"
"Berlin","Private room in Mitte","Private Room","Quite room to sleep in busy city","2 beds","38","$","4.86","Jul 16 – 21","830575419710014519","https://www.airbnb.com/rooms/830575419710014519"
"Berlin","Private room in Kreuzberg","Private Room","","1 small double bed","34","$","4.65","Jul 17 – 22","16007104","https://www.airbnb.com/rooms/16007104"
"Berlin","Private room in Neukölln","Private Room","Beautiful Altbau in the center of Neukölln","1 double bed","100","$","5","Jul 21 – 26","799181725836295737","https://www.airbnb.com/rooms/799181725836295737"
"Berlin","Private room in Neukölln","Private Room","","1 king bed","40","$","4.83","Sep 13 – 19","27574236","https://www.airbnb.com/rooms/27574236"
"Berlin","Private room in Mitte","Private Room","nice room in the center of berlin!","","41","$","4.8","Jan 1 – 6","868206","https://www.airbnb.com/rooms/868206"
"Berlin","Apartment in Mitte","Apartment","Beautiful two room flat in BerlinMitte","1 bed","107","$","4.81","Oct 4 – 9","695997251954254445","https://www.airbnb.com/rooms/695997251954254445"
"Berlin","Private room in Mitte","Private Room","","1 bed","66","$","4.67","May 12 – 17","807131975159748467","https://www.airbnb.com/rooms/807131975159748467"
"Berlin","Private room in Reinickendorf","Private Room","","1 bed","63","$","4.67","Jul 10 – 15","816443111615693549","https://www.airbnb.com/rooms/816443111615693549"
"Berlin","Private room in Lichtenberg","Private Room","Lichtenhain 2  quiet apartment close to Ostkreutz","1 king bed","38","$","4.69","Aug 8 – 13","35396599","https://www.airbnb.com/rooms/35396599"
"Berlin","Loft in Kreuzberg","Other","Outstanding selfmade rooftop Loft","1 king bed","111","$","4.53","Jul 30 – Aug 4","9570445","https://www.airbnb.com/rooms/9570445"
"Berlin","Apartment in Charlottenburg","Apartment","Cosy Space West","1 bed","100","$","No rating","Jun 25 – Jul 1","859938925077378542","https://www.airbnb.com/rooms/859938925077378542"
"Berlin","Apartment in Mitte","Apartment","Apartments in Hostel am Schäfersee _03","1 queen bed","68","$","4.67","Aug 25 – 30","22802121","https://www.airbnb.com/rooms/22802121"
"Berlin","Private room in Kreuzberg","Private Room","Mitten in Berlin","1 bed","35","$","No rating","Jul 10 – 15","873627724566328659","https://www.airbnb.com/rooms/873627724566328659"
"Berlin","Apartment in Friedrichshain","Apartment","","1 double bed","141","$","4.82","May 8 – 13","2929033","https://www.airbnb.com/rooms/2929033"
"Berlin","Private room in Neukölln","Private Room","Large Sunny Room with Balcony","1 sofa bed","99","$","4.74","May 1 – 6","5610403","https://www.airbnb.com/rooms/5610403"
"Berlin","Private room in Mitte","Private Room","Centrally located room, small but cozy","1 sofa bed","71","$","4.82","Jul 17 – 22","4362839","https://www.airbnb.com/rooms/4362839"
"Berlin","Vacation home in Treptow-Köpenick","Other","""Gerostübchen"" in the quiet outskirts of Berlin","2 beds","50","$","4.93","Jun 6 – 11","541157805061295727","https://www.airbnb.com/rooms/541157805061295727"
"Berlin","Private room in Treptow-Köpenick","Private Room","Cozy room near the airport BER","1 bed","45","$","4.38","May 5 – 10","684491013825440916","https://www.airbnb.com/rooms/684491013825440916"
"Berlin","Private room in Pankow","Private Room","Rooms with air conditioning, roof terrace and private bathroom","1 king bed","82","$","4.84","May 2 – 9","15107151","https://www.airbnb.com/rooms/15107151"
"Berlin","Condo in Mitte","Other","Nice condo in a central location. Surrounded by greenery, the large balcony invites you to enjoy a sunny breakfast. Free parking on the premises; Excellent public transport connections. Caretaker service included.","1 queen bed","96","$","4.92","Aug 27 – Sep 3","50884931","https://www.airbnb.com/rooms/50884931"
"Berlin","Private room in Kreuzberg","Private Room","bright room in large family apartment","1 bed","42","$","5","Jun 29 – Jul 6","51466351","https://www.airbnb.com/rooms/51466351"
"Berlin","Private room in Kreuzberg","Private Room","","1 double bed","94","$","4.92","Jul 10 – 15","27622100","https://www.airbnb.com/rooms/27622100"
"Berlin","Private room in Mitte","Private Room","In the middle of Berlin, just 3 mins to Alex!","1 single bed","58","$","4.79","Jul 17 – 22","11403270","https://www.airbnb.com/rooms/11403270"
"Berlin","Hotel room in Lichtenberg","Other","","1 double bed","86","$","4.67","May 20 – 27","30846121","https://www.airbnb.com/rooms/30846121"
"Berlin","Private room in Neukölln","Private Room","Zimmer über den Dächern von Berlin","1 bed","92","$","No rating","May 29 – Jun 3","780773622086564528","https://www.airbnb.com/rooms/780773622086564528"
"Berlin","Private room in Prenzlauer Berg","Private Room","Penthouse room & own bathroom, high standard","1 queen bed","84","$","4.95","Jul 4 – 9","5831587","https://www.airbnb.com/rooms/5831587"
"Berlin","Private room in Schöneberg","Private Room","Bright room in the middle of Berlin","1 bed","98","$","4.91","May 1 – 6","13554198","https://www.airbnb.com/rooms/13554198"
"Berlin","Apartment in Prenzlauer Berg","Apartment","","1 bed","114","$","4.9","Oct 16 – 21","919931","https://www.airbnb.com/rooms/919931"
"Berlin","Private room in Friedrichshain","Private Room","Psychedelic guest room for 2","2 single beds","85","$","5","Jul 27 – Aug 1","646408655216371052","https://www.airbnb.com/rooms/646408655216371052"
"Berlin","Apartment in Mitte","Apartment","","1 queen bed","80","$","4.3","Aug 18 – 23","972033","https://www.airbnb.com/rooms/972033"
"Berlin","Private room in Mitte","Private Room","","2 beds","82","$","4.88","May 26 – 31","41747575","https://www.airbnb.com/rooms/41747575"
"Berlin","Private room in Prenzlauer Berg","Private Room","center of Berlin but quiet and elegant","1 bed","116","$","4.89","May 1 – 6","13593823","https://www.airbnb.com/rooms/13593823"
"Berlin","Private room in Kreuzberg","Private Room","Bernies Homeplace","1 bed","99","$","4.79","May 1 – 6","673651609636609160","https://www.airbnb.com/rooms/673651609636609160"
"Berlin","Private room in Lichtenrade","Private Room","Comfortable room south of Berlin","1 bed","38","$","4.67","May 29 – Jun 3","31116923","https://www.airbnb.com/rooms/31116923"
"Berlin","Private room in Steglitz","Private Room","Quiet centrally located old building room","1 single bed","44","$","4.91","Jun 25 – 30","5301447","https://www.airbnb.com/rooms/5301447"
"Berlin","Private room in Friedrichshain","Private Room","","1 bed","60","$","5","May 12 – 18","53756646","https://www.airbnb.com/rooms/53756646"
"Berlin","Private room in Spandau","Private Room","Big bright room in green area with tea & coffee","1 double bed","53","$","4.85","Jun 23 – 28","20839690","https://www.airbnb.com/rooms/20839690"
"Berlin","Private room in Friedrichshain","Private Room","","1 queen bed","71","$","4.89","Sep 30 – Oct 5","27397593","https://www.airbnb.com/rooms/27397593"
"Berlin","Private room in Neukölln","Private Room","quiet double room 3.1 to the courtyard (3rd floor)","1 double bed","45","$","4.33","Jul 24 – 29","26195084","https://www.airbnb.com/rooms/26195084"
"Berlin","Apartment in Lichtenberg","Apartment","","2 single beds","81","$","4","May 1 – 8","654136886115400413","https://www.airbnb.com/rooms/654136886115400413"
"Berlin","Private room in Schöneberg","Private Room","Beautiful & central location in Berlin","1 bed","67","$","4.73","May 27 – Jun 1","771042510276863401","https://www.airbnb.com/rooms/771042510276863401"
"Berlin","Condo in Mitte","Other","","1 queen bed","151","$","5","May 5 – 11","1350644","https://www.airbnb.com/rooms/1350644"
"Berlin","Apartment in Mitte","Apartment","Cozy apartment for 3  in the heart of Berlin","2 beds","165","$","4.54","May 21 – 26","36401268","https://www.airbnb.com/rooms/36401268"
"Berlin","Private room in Prenzlauer Berg","Private Room","Berlin Room close to Alexanderplatz","1 double bed","76","$","5","Jul 6 – 11","27087980","https://www.airbnb.com/rooms/27087980"
"Berlin","Apartment in Kreuzberg","Apartment","Cozy and quiet apartment in Kreuzberg","1 queen bed","151","$","4.87","Dec 3 – 8","552151799222439302","https://www.airbnb.com/rooms/552151799222439302"
"Berlin","Private room in Schöneberg","Private Room","","2 single beds","37","$","4.73","Aug 26 – Sep 1","21144414","https://www.airbnb.com/rooms/21144414"
"Berlin","Private room in Friedrichshain","Private Room","Bright room with private bathroom & very fast WiFi","1 double bed","133","$","5","May 1 – 6","48916310","https://www.airbnb.com/rooms/48916310"
"Berlin","Private room in Mitte","Private Room","","3 beds","99","$","4.67","May 22 – 28","21808006","https://www.airbnb.com/rooms/21808006"
"Berlin","Apartment in Lichterfelde","Apartment","Spacious Apartment for Two","1 bed","70","$","4.57","Oct 1 – 6","4744063","https://www.airbnb.com/rooms/4744063"
"Berlin","Private room in Mitte","Private Room","Comfy private room 10min by metro to Berlin center","1 bed","88","$","No rating","May 7 – 14","702289668146407841","https://www.airbnb.com/rooms/702289668146407841"
"Berlin","Private room in Prenzlauer Berg","Private Room","Central, Clean, & Friendly at ALEX","3 beds","60","$","4.5","Jul 24 – 29","47897467","https://www.airbnb.com/rooms/47897467"
"Berlin","Apartment in Mitte","Apartment","Apartment Berlin Mitte with workplace & hygiene","1 double bed","109","$","4.91","Oct 4 – 9","32333841","https://www.airbnb.com/rooms/32333841"
"Berlin","Apartment in Neukölln","Apartment","Beautiful Altbau Studio","1 double bed","116","$","4.94","Jul 13 – 18","11901953","https://www.airbnb.com/rooms/11901953"
"Berlin","Private room in Steglitz-Zehlendorf","Private Room","Room # 2 in the south of Berlin (Marienfelde)","1 single bed","57","$","5","May 30 – Jun 4","52084164","https://www.airbnb.com/rooms/52084164"
"Berlin","Apartment in Kreuzberg","Apartment","Central vintage style studio apartment","1 sofa bed","111","$","4.89","Jul 16 – 21","34172297","https://www.airbnb.com/rooms/34172297"
"Berlin","Apartment in Friedrichshain","Apartment","","1 double bed","95","$","4.9","Jul 9 – 14","344856","https://www.airbnb.com/rooms/344856"
"Berlin","Private room in Neukölln","Private Room","Nice large room with balcony","1 bed","70","$","4.8","Jun 19 – 24","9816472","https://www.airbnb.com/rooms/9816472"
"Berlin","Private room in Mitte","Private Room","Small, beautiful, quiet!","1 bed","40","$","4.88","Jan 1 – 8","1999738","https://www.airbnb.com/rooms/1999738"
"Berlin","Private room in Prenzlauer Berg","Private Room","","1 single bed","91","$","4.34","May 13 – 19","51549694","https://www.airbnb.com/rooms/51549694"
"Berlin","Private room in Marzahn-Hellersdorf","Private Room","Room with a view, 30 min from the center","1 bed","49","$","4.83","May 1 – 6","39345904","https://www.airbnb.com/rooms/39345904"
"Berlin","Hotel room in Charlottenburg","Other","","1 queen bed","127","$","4.84","Aug 25 – Sep 1","30919819","https://www.airbnb.com/rooms/30919819"
"Berlin","Home in Kreuzberg","Other","Riverside View Apartment","1 sofa bed","101","$","4.32","Oct 1 – 6","44083","https://www.airbnb.com/rooms/44083"
"Berlin","Private room in Charlottenburg","Private Room",".Comfortable Private Room Nr. 6","2 beds","73","$","4.53","May 1 – 8","41306967","https://www.airbnb.com/rooms/41306967"
"Berlin","Apartment in Mitte","Apartment","cute little apartment in Mitte/Tiergarten","1 double bed","72","$","4.64","Aug 6 – 11","24505475","https://www.airbnb.com/rooms/24505475"
"Berlin","Private room in Charlottenburg","Private Room","","1 bed","59","$","No rating","May 12 – 18","875215390223424362","https://www.airbnb.com/rooms/875215390223424362"
"Berlin","Private room in Prenzlauer Berg","Private Room","Gemütliche Wohnung im schönen Prenzlauer Berg","1 double bed","99","$","4.93","May 1 – 7","3496671","https://www.airbnb.com/rooms/3496671"
"Berlin","Apartment in Neukölln","Apartment","3 room apartment in Neukölln","2 beds","103","$","4.67","Jul 28 – Aug 4","9830301","https://www.airbnb.com/rooms/9830301"
"Berlin","Apartment in Mitte","Apartment","Sunlit 2BR Top Floor Apt in Mitte","2 beds","182","$","4.93","May 6 – 11","4933665","https://www.airbnb.com/rooms/4933665"
"Berlin","Apartment in Kreuzberg","Apartment","Fontane Studio | Kreuzberg Südstern","1 sofa bed","69","$","4.84","Oct 2 – 7","9689519","https://www.airbnb.com/rooms/9689519"
"Berlin","Private room in Friedrichshain","Private Room","Central, own fridge & breakfast in Friedrichshain","1 double bed","62","$","4.88","Sep 2 – 7","31394785","https://www.airbnb.com/rooms/31394785"
"Berlin","Condo in Neukölln","Other","","2 beds","164","$","5","May 13 – 20","51939490","https://www.airbnb.com/rooms/51939490"
"Berlin","Condo in Tempelhof","Other","Berlin Old Building Charm Studio with Modern Bathroom","2 beds","96","$","4.93","Oct 16 – 21","45298444","https://www.airbnb.com/rooms/45298444"
"Berlin","Private room in Kreuzberg","Private Room","Bright and big room at Kreuzberg","1 bed","70","$","4.82","Jul 4 – 9","703900","https://www.airbnb.com/rooms/703900"
"Berlin","Private room in Friedrichshain","Private Room","Cozy city Apartment in the Center of Berlin","2 sofa beds","101","$","5","May 15 – 21","48321715","https://www.airbnb.com/rooms/48321715"
"Berlin","Private room in Berlin","Private Room","Experience the vibrant life of Wilmersdorfer Str.","1 bed","63","$","4.82","Jun 24 – 29","763695986682521907","https://www.airbnb.com/rooms/763695986682521907"
"Berlin","Private room in Berlin","Private Room","Angels' Room + Bikes in Berlin 👼 🌱🚲🚲","1 double bed","49","$","5","Jul 25 – 30","51241057","https://www.airbnb.com/rooms/51241057"
